"Variable / Field Name","Form Name","Section Header","Field Type","Field Label","Choices, Calculations, OR Slider Labels","Field Note","Text Validation Type OR Show Slider Number","Text Validation Min","Text Validation Max",Identifier?,"Branching Logic (Show field only if...)","Required Field?","Custom Alignment","Question Number (surveys only)","Matrix Group Name","Matrix Ranking?","Field Annotation"
record_id,initial_survey,,text,"Record ID",,,,,,,,,,,,,
tuftsid,initial_survey,,calc,"Participant Number:",,,,,,,,y,,,,,
owner_sex,initial_survey,,radio,"Gender of owner:","1, Male | 2, Female",,,,,,,y,RH,,,,
first_time,initial_survey,,yesno,"Is this the first dog you have ever owned?",,,,,,,,y,RH,,,,
previous_dogs,initial_survey,,dropdown,"How many dogs have you owned previously?","1, 1 or 2 | 2, 3 to 5 | 3, 6 to 10 | 4, More than 10",,,,,,"[first_time] = '0'",y,,,,,
child_dog,initial_survey,,yesno,"Did you grow up with dogs as a child (0-16 years)?  ",,,,,,,,y,RH,,,,
other_dogs,initial_survey,,yesno,"Are there other dogs in your household?",,,,,,,,y,RH,,,,
neutered,initial_survey,,radio,"Is your dog spayed/neutered?","1, Yes | 2, No",,,,,,,,RH,,,,
neutered_age,initial_survey,,text,"How old was the dog when spayed/neutered?",,"in months",number,,,,"[neutered] = '1'",,,,,,
neutered_reason,initial_survey,,dropdown,"What was your primary reason for neutering this dog?","1, Birth control | 2, Required by breeder, shelter, or rescue group | 3, To correct/reduce an existing behavior problem | 4, To correct/reduce an existing health problem | 5, To prevent future behavior problems | 6, To prevent future health problems | 7, Recommended by a veterinarian | 8, Other",,,,,,"[neutered] = '1'",,,,,,
p2_h,initial_survey,"<h1>PART 1: Canine Behavioral Assessment & Research Questionnaire (Required)</h1> ",descriptive,"The following questions are designed to allow you to describe how your dog has been behaving in the recent past (i.e., during the last few months). Please try to answer all of the questions. Only leave a question blank if you cannot answer it for some reason (for instance, if you have never observed the dog in the situation described).",,,,,,,,,,,,,
p2_s1,initial_survey,,descriptive,"<h1><center><b> SECTION 1: Excitability </h1></b></center>",,,,,,,,,,,,,
p2_s1_d1,initial_survey,,descriptive,"Some dogs show little reaction to exciting events, while others become highly excited at the slightest novelty. Using a number on the following 5-point scale:<center><i><font size = ""2"">0 = Calm</i> to <i>4 = Extremely Excited</i></center></font size = ""2"">
please indicate your own dog's recent tendency to become excitable in the following circumstances: ",,,,,,,,,,,,,
p2_s1_q1,initial_survey,,radio,"Just before being taken on a walk","0, 0 | 1, 1 | 2, 2 | 3, 3 | 4, 4",,,,,,,y,,,excitability,,
p2_s1_q2,initial_survey,,radio,"Just before being taken on a car trip","0, 0 | 1, 1 | 2, 2 | 3, 3 | 4, 4",,,,,,,y,,,excitability,,
p2_s2,initial_survey,,descriptive,"<h1><center><b> SECTION 2: Aggression </h1></b></center>",,,,,,,,,,,,,
p2_s2_d1,initial_survey,,descriptive,"Most dogs display aggressive behavior from time to time (e.g. barking, growling, baring teeth, snapping, etc). Using a number on the following 5-point scale:

<center><i><font size = ""2"">0 = No Aggression</i> to <i>4 = Serious Aggression</i></center></font size = ""2"">
please indicate your own dog's recent tendency to display aggressive behavior in each of the following circumstances:",,,,,,,,,,,,,
p2_s2_q1,initial_survey,,radio,"When approached directly by an unfamiliar person while being walked/exercised on a leash.","0, 0 | 1, 1 | 2, 2 | 3, 3 | 4, 4",,,,,,,y,,,aggression,,
p2_s2_q2,initial_survey,,radio,"When toys, bones or other objects are taken away by a household member","0, 0 | 1, 1 | 2, 2 | 3, 3 | 4, 4",,,,,,,y,,,aggression,,
p2_s2_q3,initial_survey,,radio,"When approached directly by a household member while s/he (the dog) is eating.","0, 0 | 1, 1 | 2, 2 | 3, 3 | 4, 4",,,,,,,y,,,aggression,,
p2_s2_q4,initial_survey,,radio,"When mailmen or other delivery workers approach your home.","0, 0 | 1, 1 | 2, 2 | 3, 3 | 4, 4",,,,,,,y,,,aggression,,
p2_s2_q5,initial_survey,,radio,"When his/her food is taken away by a household member.","0, 0 | 1, 1 | 2, 2 | 3, 3 | 4, 4",,,,,,,y,,,aggression,,
p2_s2_q6,initial_survey,,radio,"When approached directly by an unfamiliar dog while being walked/exercised on a leash.","0, 0 | 1, 1 | 2, 2 | 3, 3 | 4, 4",,,,,,,y,,,aggression,,
p2_s2_q7,initial_survey,,radio,"When strangers walk past your home when your dog is outside or in the yard.","0, 0 | 1, 1 | 2, 2 | 3, 3 | 4, 4",,,,,,,y,,,aggression,,
p2_s2_q8,initial_survey,,radio,"When barked, growled, or lunged at by another (unfamiliar) dog.","0, 0 | 1, 1 | 2, 2 | 3, 3 | 4, 4",,,,,,,y,,,aggression,,
p2_s2_q9,initial_survey,,radio,"When approached while eating by another (familiar) household dog (leave blank if no other dogs).","0, 0 | 1, 1 | 2, 2 | 3, 3 | 4, 4",,,,,,,,,,aggression,,
p2_s2_q10,initial_survey,,radio,"When approached while playing with/chewing a favorite toy, bone, object, etc., by another (familiar) household dog (leave blank if no other dogs).","0, 0 | 1, 1 | 2, 2 | 3, 3 | 4, 4",,,,,,,,,,aggression,,
p2_s3,initial_survey,,descriptive,"<h1><center><b> SECTION 3: Fear and Anxiety </h1></b></center>",,,,,,,,,,,,,
p2_s3_d1,initial_survey,,descriptive,"Dogs often show signs of anxiety or fear when exposed to particular sounds, objects, persons or situations (e.g. crouching or cringing with tail tucked between the legs; whimpering or whining, freezing, trembling, or attempting to escape or hide). Using a number on the following 5-point scale:

<center><i><font size = ""2"">0 = No Fear/Anxiety</i> to <i>4 = Extreme Fear/Anxiety</i></center></font size = ""2"">
please indicate your own dog's recent tendency to display fearful behavior in the following circumstances:",,,,,,,,,,,,,
p2_s3_q1,initial_survey,,radio,"When approached directly by an unfamiliar person while away from your home.","0, 0 | 1, 1 | 2, 2 | 3, 3 | 4, 4",,,,,,,y,,,fear,,
p2_s3_q2,initial_survey,,radio,"In response to sudden or loud noises (e.g. thunder, vacuum cleaner, car backfire, road drills, objects being dropped, etc.).","0, 0 | 1, 1 | 2, 2 | 3, 3 | 4, 4",,,,,,,y,,,fear,,
p2_s3_q3,initial_survey,,radio,"When an unfamiliar person tries to touch or pet the dog.","0, 0 | 1, 1 | 2, 2 | 3, 3 | 4, 4",,,,,,,y,,,fear,,
p2_s3_q4,initial_survey,,radio,"In response to strange or unfamiliar objects on or near the sidewalk (e.g. plastic trash bags, leaves, litter, flags flapping, etc.","0, 0 | 1, 1 | 2, 2 | 3, 3 | 4, 4",,,,,,,y,,,fear,,
p2_s3_q5,initial_survey,,radio,"When approached directly by an unfamiliar dog.","0, 0 | 1, 1 | 2, 2 | 3, 3 | 4, 4",,,,,,,y,,,fear,,
p2_s3_q6,initial_survey,,radio,"When first exposed to unfamiliar situations (e.g. first car trip, first time in elevator, first visit to veterinarian, etc.)","0, 0 | 1, 1 | 2, 2 | 3, 3 | 4, 4",,,,,,,y,,,fear,,
p2_s3_q7,initial_survey,,radio,"When barked, growled, or lunged at by an unfamiliar dog.","0, 0 | 1, 1 | 2, 2 | 3, 3 | 4, 4",,,,,,,y,,,fear,,
p2_s3_q8,initial_survey,,radio,"When having nails clipped by a household member.","0, 0 | 1, 1 | 2, 2 | 3, 3 | 4, 4",,,,,,,y,,,fear,,
p2_s3_q9,initial_survey,,radio,"When groomed or bathed by a household member.","0, 0 | 1, 1 | 2, 2 | 3, 3 | 4, 4",,,,,,,y,,,fear,,
p2_s4,initial_survey,,descriptive,"<h1><center><b> SECTION 4: Separation-related Behavior </h1></b></center>",,,,,,,,,,,,,
p2_s4_d1,initial_survey,,descriptive,"Some dogs show signs of anxiety when left alone, even for short periods of time. Thinking back over the recent past, how often has your dog shown each of the following signs of anxiety when left, or about to be left, on its own:",,,,,,,,,,,,,
p2_s4_q1,initial_survey,,radio,Restlessness/agitation/pacing.,"1, Never | 2, Seldom | 3, Sometimes | 4, Usually | 5, Always",,,,,,,y,,,separation,,
p2_s4_q2,initial_survey,,radio,"Barking or whining.","1, Never | 2, Seldom | 3, Sometimes | 4, Usually | 5, Always",,,,,,,y,,,separation,,
p2_s4_q3,initial_survey,,radio,"Chewing/scratching at doors, floor, windows, curtains, etc.","1, Never | 2, Seldom | 3, Sometimes | 4, Usually | 5, Always",,,,,,,y,,,separation,,
p2_s5,initial_survey,,descriptive,"<h1><center><b> SECTION 5: Attachment and Attention-seeking </h1></b></center>",,,,,,,,,,,,,
p2_s5_d1,initial_survey,,descriptive,"Most dogs are strongly attached to their people, and some demand a great deal of attention and affection from them. Thinking back over the recent past, how often has your dog shown each of the following signs of attachment or attention-seeking.",,,,,,,,,,,,,
p2_s5_q1,initial_survey,,radio,"Tends to follow you (or other members of the household) about the house, from room to room.","1, Never | 2, Seldom | 3, Sometimes | 4, Usually | 5, Always",,,,,,,y,,,attention,,
p2_s5_q2,initial_survey,,radio,"Tends to sit close to, or in contact with, you (or others) when you are sitting down","1, Never | 2, Seldom | 3, Sometimes | 4, Usually | 5, Always",,,,,,,y,,,attention,,
p2_s6,initial_survey,,descriptive,"<h1><center><b> SECTION 6: Training Difficulty </h1></b></center>",,,,,,,,,,,,,
p2_s6_d1,initial_survey,,descriptive,"Some dogs are more obedient and trainable than others. By checking the appropriate boxes, please indicate how trainable or obedient your dog has been in each of the following situations in the recent past:",,,,,,,,,,,,,
p2_s6_q1,initial_survey,,radio,"Obeys a ""sit"" command immediately.","1, Never | 2, Seldom | 3, Sometimes | 4, Usually | 5, Always",,,,,,,y,,,training,,
p2_s6_q2,initial_survey,,radio,"Obeys a ""stay"" command immediately.","1, Never | 2, Seldom | 3, Sometimes | 4, Usually | 5, Always",,,,,,,y,,,training,,
p2_s7,initial_survey,,descriptive,"<h1><center><b> SECTION 7: Miscellaneous Problems </h1></b></center>",,,,,,,,,,,,,
p2_s7_d1,initial_survey,,descriptive,"Dogs display a wide range of miscellaneous behavior problems in addition to those already covered by this questionnaire. Thinking back over the recent past, please indicate how often your dog has shown any of the following behaviors:",,,,,,,,,,,,,
p2_s7_q1,initial_survey,,radio,"Easily distracted by interesting sights, sounds or smells.","1, Never | 2, Seldom | 3, Sometimes | 4, Usually | 5, Always",,,,,,,y,,,misc,,
p2_s7_q2,initial_survey,,radio,"Chases or would chase birds, given the chance.","1, Never | 2, Seldom | 3, Sometimes | 4, Usually | 5, Always",,,,,,,y,,,misc,,
p2_s7_q3,initial_survey,,radio,"Chases or would chase squirrels, rabbits, etc., given the chance.","1, Never | 2, Seldom | 3, Sometimes | 4, Usually | 5, Always",,,,,,,y,,,misc,,
p2_s7_q4,initial_survey,,radio,"Escapes or would escape from home or yard, given the chance.","1, Never | 2, Seldom | 3, Sometimes | 4, Usually | 5, Always",,,,,,,y,,,misc,,
p2_s7_q5,initial_survey,,radio,"Chews inappropriate objects.","1, Never | 2, Seldom | 3, Sometimes | 4, Usually | 5, Always",,,,,,,y,,,misc,,
p2_s7_q6,initial_survey,,radio,"Pulls excessively hard when on the leash.","1, Never | 2, Seldom | 3, Sometimes | 4, Usually | 5, Always",,,,,,,y,,,misc,,
p2_s7_q7,initial_survey,,radio,"Urinates against objects/ furnishings in your home.","1, Never | 2, Seldom | 3, Sometimes | 4, Usually | 5, Always",,,,,,,y,,,misc,,
p2_s7_q8,initial_survey,,radio,"Urinates when left alone at night, or during the daytime.","1, Never | 2, Seldom | 3, Sometimes | 4, Usually | 5, Always",,,,,,,y,,,misc,,
p2_s7_q9,initial_survey,,radio,"Defecates when left alone at night, or during the daytime.","1, Never | 2, Seldom | 3, Sometimes | 4, Usually | 5, Always",,,,,,,y,,,misc,,
p2_s7_q10,initial_survey,,radio,"Hyperactive, restless, has trouble settling down.","1, Never | 2, Seldom | 3, Sometimes | 4, Usually | 5, Always",,,,,,,y,,,misc,,
p2_s7_q11,initial_survey,,radio,"Playful, puppyish, boisterous.","1, Never | 2, Seldom | 3, Sometimes | 4, Usually | 5, Always",,,,,,,y,,,misc,,
p2_s7_q12,initial_survey,,radio,"Active, energetic, always on the go.","1, Never | 2, Seldom | 3, Sometimes | 4, Usually | 5, Always",,,,,,,y,,,misc,,
p2_s7_q13,initial_survey,,radio,"Chases own tail/hind end.","1, Never | 2, Seldom | 3, Sometimes | 4, Usually | 5, Always",,,,,,,y,,,misc,,
